WordInput,WordKey,Romaji,Wapuro,Pos,JaTranslation,JaHint,ZhTranslation,ZhHint,ZhSentance,ZhSentanceTranslation,BookName,BookChapter,BookExtra,BookWordId,,,,,,,,,,,,,,,30
そ,,so,so,KANA;HIRAGANA;SEION,,曾,,,,,KANA,HIRAGANA,,15,,,,,,,,,,,,,,,
た,,ta,ta,KANA;HIRAGANA;SEION,,太,,,,,KANA,HIRAGANA,,16,,,,,,,,,,,,,,,
ち,,chi,chi,KANA;HIRAGANA;SEION,,知,,训令式罗马字：ti,,,KANA,HIRAGANA,,17,,,,,,,,,,,,,,,
つ,,tsu,tsu,KANA;HIRAGANA;SEION,,川,,训令式罗马字：tu,,,KANA,HIRAGANA,,18,,,,,,,,,,,,,,,
て,,te,te,KANA;HIRAGANA;SEION,,天,,,,,KANA,HIRAGANA,,19,,,,,,,,,,,,,,,
と,,to,to,KANA;HIRAGANA;SEION,,止,,,,,KANA,HIRAGANA,,20,,,,,,,,,,,,,,,
な,,na,na,KANA;HIRAGANA;SEION,,奈,,,,,KANA,HIRAGANA,,21,,,,,,,,,,,,,,,
に,,ni,ni,KANA;HIRAGANA;SEION,,仁,,,,,KANA,HIRAGANA,,22,,,,,,,,,,,,,,,
ぬ,,nu,nu,KANA;HIRAGANA;SEION,,奴,,,,,KANA,HIRAGANA,,23,,,,,,,,,,,,,,,
ね,,ne,ne,KANA;HIRAGANA;SEION,,祢,,,,,KANA,HIRAGANA,,24,,,,,,,,,,,,,,,
の,,no,no,KANA;HIRAGANA;SEION,,乃,,,,,KANA,HIRAGANA,,25,,,,,,,,,,,,,,,
は,,ha,ha,KANA;HIRAGANA;SEION,,波,,在日语输入法中必须输入ha，不能输入wa,,,KANA,HIRAGANA,,26,,,,,,,,,,,,,,,
ひ,,hi,hi,KANA;HIRAGANA;SEION,,比,,,,,KANA,HIRAGANA,,27,,,,,,,,,,,,,,,
ふ,,fu,fu,KANA;HIRAGANA;SEION,,不,,训令式罗马字：hu,,,KANA,HIRAGANA,,28,,,,,,,,,,,,,,,
へ,,he,he,KANA;HIRAGANA;SEION,,部,,在日语输入法中必须输入he，不能输入e,,,KANA,HIRAGANA,,29,,,,,,,,,,,,,,,
ほ,,ho,ho,KANA;HIRAGANA;SEION,,保,,,,,KANA,HIRAGANA,,30,,,,,,,,,,,,,,,
ま,,ma,ma,KANA;HIRAGANA;SEION,,末,,,,,KANA,HIRAGANA,,31,,,,,,,,,,,,,,,
み,,mi,mi,KANA;HIRAGANA;SEION,,美,,,,,KANA,HIRAGANA,,32,,,,,,,,,,,,,,,
む,,mu,mu,KANA;HIRAGANA;SEION,,武,,,,,KANA,HIRAGANA,,33,,,,,,,,,,,,,,,
め,,me,me,KANA;HIRAGANA;SEION,,女,,,,,KANA,HIRAGANA,,34,,,,,,,,,,,,,,,
も,,mo,mo,KANA;HIRAGANA;SEION,,毛,,,,,KANA,HIRAGANA,,35,,,,,,,,,,,,,,,
や,,ya,ya,KANA;HIRAGANA;SEION,,也,,,,,KANA,HIRAGANA,,36,,,,,,,,,,,,,,,
ゆ,,yu,yu,KANA;HIRAGANA;SEION,,由,,,,,KANA,HIRAGANA,,38,,,,,,,,,,,,,,,
よ,,yo,yo,KANA;HIRAGANA;SEION,,与,,,,,KANA,HIRAGANA,,40,,,,,,,,,,,,,,,
ら,,ra,ra,KANA;HIRAGANA;SEION,,良,,,,,KANA,HIRAGANA,,41,,,,,,,,,,,,,,,
り,,ri,ri,KANA;HIRAGANA;SEION,,利,,,,,KANA,HIRAGANA,,42,,,,,,,,,,,,,,,
る,,ru,ru,KANA;HIRAGANA;SEION,,留,,,,,KANA,HIRAGANA,,43,,,,,,,,,,,,,,,
れ,,re,re,KANA;HIRAGANA;SEION,,礼,,,,,KANA,HIRAGANA,,44,,,,,,,,,,,,,,,
ろ,,ro,ro,KANA;HIRAGANA;SEION,,吕,,,,,KANA,HIRAGANA,,45,,,,,,,,,,,,,,,
わ,,wa,wa,KANA;HIRAGANA;SEION,,和,,,,,KANA,HIRAGANA,,46,,,,,,,,,,,,,,,
ゐ,,wi,wi,DEPRECATED;KANA;HIRAGANA;SEION,,,,现代日语中已废弃,,,KANA,HIRAGANA,EXT,47,,,,,,,,,,,,,,,
ゑ,,we,we,DEPRECATED;KANA;HIRAGANA;SEION,,,,现代日语中已废弃,,,KANA,HIRAGANA,EXT,49,,,,,,,,,,,,,,,
を,,o,wo,KANA;HIRAGANA;SEION,,遠,,在日语输入法中必须输入wo，不能输入o，与お区分,,,KANA,HIRAGANA,,50,,,,,,,,,,,,,,,
ん,,n,nn,KANA;HIRAGANA;HATSUON,,无,,在日语输入法中必须输入nn，不能输入n，与な行区分,,,KANA,HIRAGANA,,51,,,,,,,,,,,,,,,
ア,,a,a,KANA;KATAKANA;SEION,,阿,,,,,KANA,KATAKANA,,1,,,,,,,,,,,,,,,
イ,,i,i,KANA;KATAKANA;SEION,,伊,,,,,KANA,KATAKANA,,2,,,,,,,,,,,,,,,
ウ,,u,u,KANA;KATAKANA;SEION,,宇,,,,,KANA,KATAKANA,,3,,,,,,,,,,,,,,,
エ,,e,e,KANA;KATAKANA;SEION,,江,,,,,KANA,KATAKANA,,4,,,,,,,,,,,,,,,
オ,,o,o,KANA;KATAKANA;SEION,,於,,,,,KANA,KATAKANA,,5,,,,,,,,,,,,,,,
カ,,ka,ka,KANA;KATAKANA;SEION,,加,,,,,KANA,KATAKANA,,6,,,,,,,,,,,,,,,
キ,,ki,ki,KANA;KATAKANA;SEION,,幾,,,,,KANA,KATAKANA,,7,,,,,,,,,,,,,,,
ク,,ku,ku,KANA;KATAKANA;SEION,,久,,,,,KANA,KATAKANA,,8,,,,,,,,,,,,,,,
ケ,,ke,ke,KANA;KATAKANA;SEION,,介,,,,,KANA,KATAKANA,,9,,,,,,,,,,,,,,,
コ,,ko,ko,KANA;KATAKANA;SEION,,己,,,,,KANA,KATAKANA,,10,,,,,,,,,,,,,,,
サ,,sa,sa,KANA;KATAKANA;SEION,,散,,,,,KANA,KATAKANA,,11,,,,,,,,,,,,,,,
シ,,shi,shi,KANA;KATAKANA;SEION,,之,,训令式罗马字：si,,,KANA,KATAKANA,,12,,,,,,,,,,,,,,,
ス,,su,su,KANA;KATAKANA;SEION,,須,,,,,KANA,KATAKANA,,13,,,,,,,,,,,,,,,
セ,,se,se,KANA;KATAKANA;SEION,,世,,,,,KANA,KATAKANA,,14,,,,,,,,,,,,,,,
ソ,,so,so,KANA;KATAKANA;SEION,,曾,,,,,KANA,KATAKANA,,15,,,,,,,,,,,,,,,
タ,,ta,ta,KANA;KATAKANA;SEION,,多,,,,,KANA,KATAKANA,,16,,,,,,,,,,,,,,,
チ,,chi,chi,KANA;KATAKANA;SEION,,千,,训令式罗马字：ti,,,KANA,KATAKANA,,17,,,,,,,,,,,,,,,
ツ,,tsu,tsu,KANA;KATAKANA;SEION,,州,,训令式罗马字：tu,,,KANA,KATAKANA,,18,,,,,,,,,,,,,,,
テ,,te,te,KANA;KATAKANA;SEION,,天,,,,,KANA,KATAKANA,,19,,,,,,,,,,,,,,,
ト,,to,to,KANA;KATAKANA;SEION,,止,,,,,KANA,KATAKANA,,20,,,,,,,,,,,,,,,
ナ,,na,na,KANA;KATAKANA;SEION,,奈,,,,,KANA,KATAKANA,,21,,,,,,,,,,,,,,,
ニ,,ni,ni,KANA;KATAKANA;SEION,,二,,,,,KANA,KATAKANA,,22,,,,,,,,,,,,,,,
ヌ,,nu,nu,KANA;KATAKANA;SEION,,奴,,,,,KANA,KATAKANA,,23,,,,,,,,,,,,,,,
ネ,,ne,ne,KANA;KATAKANA;SEION,,祢,,,,,KANA,KATAKANA,,24,,,,,,,,,,,,,,,
ノ,,no,no,KANA;KATAKANA;SEION,,乃,,,,,KANA,KATAKANA,,25,,,,,,,,,,,,,,,
ハ,,ha,ha,KANA;KATAKANA;SEION,,八,,,,,KANA,KATAKANA,,26,,,,,,,,,,,,,,,
ヒ,,hi,hi,KANA;KATAKANA;SEION,,比,,,,,KANA,KATAKANA,,27,,,,,,,,,,,,,,,
フ,,fu,fu,KANA;KATAKANA;SEION,,不,,训令式罗马字：hu,,,KANA,KATAKANA,,28,,,,,,,,,,,,,,,
ヘ,,he,he,KANA;KATAKANA;SEION,,部,,,,,KANA,KATAKANA,,29,,,,,,,,,,,,,,,
ホ,,ho,ho,KANA;KATAKANA;SEION,,保,,,,,KANA,KATAKANA,,30,,,,,,,,,,,,,,,
マ,,ma,ma,KANA;KATAKANA;SEION,,万,,,,,KANA,KATAKANA,,31,,,,,,,,,,,,,,,
ミ,,mi,mi,KANA;KATAKANA;SEION,,三,,,,,KANA,KATAKANA,,32,,,,,,,,,,,,,,,
ム,,mu,mu,KANA;KATAKANA;SEION,,牟,,,,,KANA,KATAKANA,,33,,,,,,,,,,,,,,,
メ,,me,me,KANA;KATAKANA;SEION,,女,,,,,KANA,KATAKANA,,34,,,,,,,,,,,,,,,
モ,,mo,mo,KANA;KATAKANA;SEION,,毛,,,,,KANA,KATAKANA,,35,,,,,,,,,,,,,,,
ヤ,,ya,ya,KANA;KATAKANA;SEION,,也,,,,,KANA,KATAKANA,,36,,,,,,,,,,,,,,,
ユ,,yu,yu,KANA;KATAKANA;SEION,,由,,,,,KANA,KATAKANA,,38,,,,,,,,,,,,,,,
ヨ,,yo,yo,KANA;KATAKANA;SEION,,与,,,,,KANA,KATAKANA,,40,,,,,,,,,,,,,,,
ラ,,ra,ra,KANA;KATAKANA;SEION,,良,,,,,KANA,KATAKANA,,41,,,,,,,,,,,,,,,
リ,,ri,ri,KANA;KATAKANA;SEION,,利,,,,,KANA,KATAKANA,,42,,,,,,,,,,,,,,,
ル,,ru,ru,KANA;KATAKANA;SEION,,流,,,,,KANA,KATAKANA,,43,,,,,,,,,,,,,,,
レ,,re,re,KANA;KATAKANA;SEION,,礼,,,,,KANA,KATAKANA,,44,,,,,,,,,,,,,,,
ロ,,ro,ro,KANA;KATAKANA;SEION,,吕,,,,,KANA,KATAKANA,,45,,,,,,,,,,,,,,,
ワ,,wa,wa,KANA;KATAKANA;SEION,,和,,,,,KANA,KATAKANA,,46,,,,,,,,,,,,,,,
ヰ,,wi,wi,DEPRECATED;KANA;KATAKANA;SEION,,,,现代日语中已废弃,,,KANA,KATAKANA,EXT,47,,,,,,,,,,,,,,,
ヱ,,we,we,DEPRECATED;KANA;KATAKANA;SEION,,,,现代日语中已废弃,,,KANA,KATAKANA,EXT,49,,,,,,,,,,,,,,,
ヲ,,o,wo,KANA;KATAKANA;SEION,,乎,,在日语输入法中必须输入wo，不能输入o，与オ区分,,,KANA,KATAKANA,,50,,,,,,,,,,,,,,,
ン,,n,nn,KANA;KATAKANA;HATSUON,,,,在日语输入法中必须输入nn，不能输入n，与ナ行区分,,,KANA,KATAKANA,,51,,,,,,,,,,,,,,,
が,,ga,ga,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,1,,,,,,,,,,,,,,,
ぎ,,gi,gi,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,2,,,,,,,,,,,,,,,
ぐ,,gu,gu,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,3,,,,,,,,,,,,,,,
げ,,ge,ge,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,4,,,,,,,,,,,,,,,
ご,,go,go,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,5,,,,,,,,,,,,,,,
ざ,,za,za,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,6,,,,,,,,,,,,,,,
じ,,ji,ji,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,7,,,,,,,,,,,,,,,
ず,,zu,zu,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,8,,,,,,,,,,,,,,,
ぜ,,ze,ze,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,9,,,,,,,,,,,,,,,
ぞ,,zo,zo,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,10,,,,,,,,,,,,,,,
だ,,da,da,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,11,,,,,,,,,,,,,,,
ぢ,,ji,di,KANA;HIRAGANA;DAKUON,,,,在日语输入法中必须输入di，不能输入ji，与じ区分,,,KANA,DAKUON,,12,,,,,,,,,,,,,,,
づ,,zu,du,KANA;HIRAGANA;DAKUON,,,,在日语输入法中必须输入du，不能输入zu，与ず区分,,,KANA,DAKUON,,13,,,,,,,,,,,,,,,
で,,de,de,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,14,,,,,,,,,,,,,,,
ど,,do,do,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,15,,,,,,,,,,,,,,,
ば,,ba,ba,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,16,,,,,,,,,,,,,,,
び,,bi,bi,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,17,,,,,,,,,,,,,,,
ぶ,,bu,bu,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,18,,,,,,,,,,,,,,,
べ,,be,be,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,19,,,,,,,,,,,,,,,
ぼ,,bo,bo,KANA;HIRAGANA;DAKUON,,,,,,,KANA,DAKUON,,20,,,,,,,,,,,,,,,
ぱ,,pa,pa,KANA;HIRAGANA;HANDAKUON,,,,,,,KANA,DAKUON,,21,,,,,,,,,,,,,,,
ぴ,,pi,pi,KANA;HIRAGANA;HANDAKUON,,,,,,,KANA,DAKUON,,22,,,,,,,,,,,,,,,
ぷ,,pu,pu,KANA;HIRAGANA;HANDAKUON,,,,,,,KANA,DAKUON,,23,,,,,,,,,,,,,,,
ぺ,,pe,pe,KANA;HIRAGANA;HANDAKUON,,,,,,,KANA,DAKUON,,24,,,,,,,,,,,,,,,
ぽ,,po,po,KANA;HIRAGANA;HANDAKUON,,,,,,,KANA,DAKUON,,25,,,,,,,,,,,,,,,
ガ,,ga,ga,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,101,,,,,,,,,,,,,,,
ギ,,gi,gi,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,102,,,,,,,,,,,,,,,
グ,,gu,gu,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,103,,,,,,,,,,,,,,,
ゲ,,ge,ge,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,104,,,,,,,,,,,,,,,
ゴ,,go,go,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,105,,,,,,,,,,,,,,,
ザ,,za,za,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,106,,,,,,,,,,,,,,,
ジ,,ji,ji,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,107,,,,,,,,,,,,,,,
ズ,,zu,zu,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,108,,,,,,,,,,,,,,,
ゼ,,ze,ze,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,109,,,,,,,,,,,,,,,
ゾ,,zo,zo,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,110,,,,,,,,,,,,,,,
ダ,,da,da,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,111,,,,,,,,,,,,,,,
ヂ,,ji,di,KANA;KATAKANA;DAKUON,,,,在日语输入法中必须输入di，不能输入ji，与ジ区分,,,KANA,DAKUON,,112,,,,,,,,,,,,,,,
ヅ,,zu,du,KANA;KATAKANA;DAKUON,,,,在日语输入法中必须输入du，不能输入zu，与ズ区分,,,KANA,DAKUON,,113,,,,,,,,,,,,,,,
デ,,de,de,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,114,,,,,,,,,,,,,,,
ド,,do,do,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,115,,,,,,,,,,,,,,,
バ,,ba,ba,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,116,,,,,,,,,,,,,,,
ビ,,bi,bi,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,117,,,,,,,,,,,,,,,
ブ,,bu,bu,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,118,,,,,,,,,,,,,,,
ベ,,be,be,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,119,,,,,,,,,,,,,,,
ボ,,bo,bo,KANA;KATAKANA;DAKUON,,,,,,,KANA,DAKUON,,120,,,,,,,,,,,,,,,
パ,,pa,pa,KANA;KATAKANA;HANDAKUON,,,,,,,KANA,DAKUON,,121,,,,,,,,,,,,,,,
ピ,,pi,pi,KANA;KATAKANA;HANDAKUON,,,,,,,KANA,DAKUON,,122,,,,,,,,,,,,,,,
プ,,pu,pu,KANA;KATAKANA;HANDAKUON,,,,,,,KANA,DAKUON,,123,,,,,,,,,,,,,,,
ペ,,pe,pe,KANA;KATAKANA;HANDAKUON,,,,,,,KANA,DAKUON,,124,,,,,,,,,,,,,,,
ポ,,po,po,KANA;KATAKANA;HANDAKUON,,,,,,,KANA,DAKUON,,125,,,,,,,,,,,,,,,
きゃ,,kya,kya,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,1,,,,,,,,,,,,,,,
きゅ,,kyu,kyu,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,2,,,,,,,,,,,,,,,
きょ,,kyo,kyo,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,3,,,,,,,,,,,,,,,
しゃ,,sha,sha,KANA;HIRAGANA;SEION;YOON,,,,赫本式罗马字：sha，训令式罗马字：sya,,,KANA,YOON,,4,,,,,,,,,,,,,,,
しゅ,,shu,shu,KANA;HIRAGANA;SEION;YOON,,,,赫本式罗马字：shu，训令式罗马字：syu,,,KANA,YOON,,5,,,,,,,,,,,,,,,
しょ,,sho,sho,KANA;HIRAGANA;SEION;YOON,,,,赫本式罗马字：sho，训令式罗马字：syo,,,KANA,YOON,,6,,,,,,,,,,,,,,,
ちゃ,,cha,cha,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,7,,,,,,,,,,,,,,,
ちゅ,,chu,chu,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,8,,,,,,,,,,,,,,,
ちょ,,cho,cho,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,9,,,,,,,,,,,,,,,
にゃ,,nya,nya,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,10,,,,,,,,,,,,,,,
にゅ,,nyu,nyu,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,11,,,,,,,,,,,,,,,
にょ,,nyo,nyo,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,12,,,,,,,,,,,,,,,
ひゃ,,hya,hya,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,13,,,,,,,,,,,,,,,
ひゅ,,hyu,hyu,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,14,,,,,,,,,,,,,,,
ひょ,,hyo,hyo,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,15,,,,,,,,,,,,,,,
みゃ,,mya,mya,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,16,,,,,,,,,,,,,,,
みゅ,,myu,myu,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,17,,,,,,,,,,,,,,,
みょ,,myo,myo,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,18,,,,,,,,,,,,,,,
りゃ,,rya,rya,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,19,,,,,,,,,,,,,,,
りゅ,,ryu,ryu,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,20,,,,,,,,,,,,,,,
りょ,,ryo,ryo,KANA;HIRAGANA;SEION;YOON,,,,,,,KANA,YOON,,21,,,,,,,,,,,,,,,
ぎゃ,,gya,gya,KANA;HIRAGANA;DAKUON;YOON,,,,,,,KANA,YOON,,22,,,,,,,,,,,,,,,
ぎゅ,,gyu,gyu,KANA;HIRAGANA;DAKUON;YOON,,,,,,,KANA,YOON,,23,,,,,,,,,,,,,,,
ぎょ,,gyo,gyo,KANA;HIRAGANA;DAKUON;YOON,,,,,,,KANA,YOON,,24,,,,,,,,,,,,,,,
じゃ,,ja,ja,KANA;HIRAGANA;DAKUON;YOON,,,,赫本式罗马字：ja，训令式罗马字：zya，不存在jya,,,KANA,YOON,,25,,,,,,,,,,,,,,,
じゅ,,ju,ju,KANA;HIRAGANA;DAKUON;YOON,,,,赫本式罗马字：ju，训令式罗马字：zyu，不存在jyu,,,KANA,YOON,,26,,,,,,,,,,,,,,,
じょ,,jo,jo,KANA;HIRAGANA;DAKUON;YOON,,,,赫本式罗马字：ja，训令式罗马字：zya，不存在jya,,,KANA,YOON,,27,,,,,,,,,,,,,,,
びゃ,,bya,bya,KANA;HIRAGANA;DAKUON;YOON,,,,,,,KANA,YOON,,28,,,,,,,,,,,,,,,
びゅ,,byu,byu,KANA;HIRAGANA;DAKUON;YOON,,,,,,,KANA,YOON,,29,,,,,,,,,,,,,,,
びょ,,byo,byo,KANA;HIRAGANA;DAKUON;YOON,,,,,,,KANA,YOON,,30,,,,,,,,,,,,,,,
ぴゃ,,pya,pya,KANA;HIRAGANA;HANDAKUON;YOON,,,,,,,KANA,YOON,,31,,,,,,,,,,,,,,,
ぴゅ,,pyu,pyu,KANA;HIRAGANA;HANDAKUON;YOON,,,,,,,KANA,YOON,,32,,,,,,,,,,,,,,,
ぴょ,,pyo,pyo,KANA;HIRAGANA;HANDAKUON;YOON,,,,,,,KANA,YOON,,33,,,,,,,,,,,,,,,
ゃ,,xya,xya,KANA;HIRAGANA;SEION;YOON,,,,在日语输入法中输入前缀x或l可直接输入小字,,,KANA,YOON,,34,,,,,,,,,,,,,,,
ゅ,,xyu,xyu,KANA;HIRAGANA;SEION;YOON,,,,在日语输入法中输入前缀x或l可直接输入小字,,,KANA,YOON,,35,,,,,,,,,,,,,,,
ょ,,xyo,xyo,KANA;HIRAGANA;SEION;YOON,,,,在日语输入法中输入前缀x或l可直接输入小字,,,KANA,YOON,,36,,,,,,,,,,,,,,,
っ,,xtu,xtu,KANA;HIRAGANA;SOKUON,,,,促音只会发生在かさたぱ行假名之前，促音的罗马字是双写后一个假名的子音（辅音），在输入法中可直接双写后一个假名的子音输入，例如：kka-っか，ssa-っさ，tta-った，ppa-っぱ，也可通过xtu（或xtsu）直接输入促音,,,KANA,YOON,,37,,,,,,,,,,,,,,,
キャ,,kya,kya,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,51,,,,,,,,,,,,,,,
キュ,,kyu,kyu,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,52,,,,,,,,,,,,,,,
キョ,,kyo,kyo,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,53,,,,,,,,,,,,,,,
シャ,,sha,sha,KANA;KATAKANA;SEION;YOON,,,,赫本式罗马字：sha，训令式罗马字：sya,,,KANA,YOON,,54,,,,,,,,,,,,,,,
シュ,,shu,shu,KANA;KATAKANA;SEION;YOON,,,,赫本式罗马字：shu，训令式罗马字：syu,,,KANA,YOON,,55,,,,,,,,,,,,,,,
ショ,,sho,sho,KANA;KATAKANA;SEION;YOON,,,,赫本式罗马字：sho，训令式罗马字：syo,,,KANA,YOON,,56,,,,,,,,,,,,,,,
チャ,,cha,cha,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,57,,,,,,,,,,,,,,,
チュ,,chu,chu,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,58,,,,,,,,,,,,,,,
チョ,,cho,cho,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,59,,,,,,,,,,,,,,,
ニャ,,nya,nya,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,60,,,,,,,,,,,,,,,
ニュ,,nyu,nyu,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,61,,,,,,,,,,,,,,,
ニョ,,nyo,nyo,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,62,,,,,,,,,,,,,,,
ヒャ,,hya,hya,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,63,,,,,,,,,,,,,,,
ヒュ,,hyu,hyu,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,64,,,,,,,,,,,,,,,
ヒョ,,hyo,hyo,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,65,,,,,,,,,,,,,,,
ミャ,,mya,mya,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,66,,,,,,,,,,,,,,,
ミュ,,myu,myu,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,67,,,,,,,,,,,,,,,
ミョ,,myo,myo,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,68,,,,,,,,,,,,,,,
リャ,,rya,rya,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,69,,,,,,,,,,,,,,,
リュ,,ryu,ryu,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,70,,,,,,,,,,,,,,,
リョ,,ryo,ryo,KANA;KATAKANA;SEION;YOON,,,,,,,KANA,YOON,,71,,,,,,,,,,,,,,,
ギャ,,gya,gya,KANA;KATAKANA;DAKUON;YOON,,,,,,,KANA,YOON,,72,,,,,,,,,,,,,,,
